[2026-01-28 10:06:04] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-28 10:06:04] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-28 10:06:04] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-28 10:06:04] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"Silicon Labs","serialNumber":"0001","pnpId":"usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","vendorId":"10c4","productId":"ea60"} => zstack: 4
[2026-01-28 10:06:04] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-01-28 10:06:04] info: 	zh:zstack:znp: Serialport opened
[2026-01-28 10:06:04] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-28 10:06:04] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"ZStack3x0"}'
[2026-01-28 10:06:04] info: 	z2m: temp-outside (0xa4c13891e06e629d): TH02Z - Tuya Temperature and humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: temp-livingroom (0x00158d000423e554): WSDCGQ11LM - Aqara Temperature and humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: onoff-living-room-light-1 (0xbc026efffe674311): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-living-room-light-2 (0x6c5cb1fffe5fe294): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-living-room-light-3 (0xbc026efffe674ad7): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-kitchen-window (0x3425b4fffe130900): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: soil-moisture-sensor-2 (0xa4c138a3ebec6a7d): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: soil-moisture-sensor-3 (0xa4c138d116d7caa6): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: soil-moisture-sensor-1 (0xa4c138ba85756561): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: temp-bedroom (0xa4c1380b02dd31d4): TH02Z - Tuya Temperature and humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: onoff-bedroom (0x14b457fffefc2ef0): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-tv-room (0xbc026efffe6753d0): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: temp-kitchen (0xa4c13851b7514a0c): TH01Z - Tuya Temperature and humidity sensor with clock (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: onoff-garage-ventilation-fan (0x3425b4fffe94e141): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: fingerbot-garage-heater (0xa4c1389025a19f7a): TS0001_fingerbot - Tuya Zigbee fingerbot plus (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: temp-boiler-room (0x00158d0004089a53): WSDCGQ01LM - Xiaomi Mi temperature and humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: temp-laundry-room (0xa4c138628080cfdf): WSD500A - Tuya Temperature & humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: onoff-laundry-room (0xbc026efffec8d06f): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-hobby-room (0x7c31fafffe648ea0): E22x4 - IKEA TRETAKT smart plug (Router)
[2026-01-28 10:06:04] info: 	z2m: onoff-food-storage (0x3425b4fffed4e4bc): E160x/E170x/E190x - IKEA TRADFRI control outlet (Router)
[2026-01-28 10:06:04] info: 	z2m: temp-downstair-office (0x00158d00044fc85c): WSDCGQ01LM - Xiaomi Mi temperature and humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: air-quality-garage (0x3c2ef5fffeef7d8a): E2112 - IKEA VINDSTYRKA air quality and humidity sensor (Router)
[2026-01-28 10:06:04] info: 	z2m: temp-garage (0xa4c1380e632c86c9): WSD500A - Tuya Temperature & humidity sensor (EndDevice)
[2026-01-28 10:06:04] info: 	z2m: Currently 23 devices are joined.
[2026-01-28 10:06:04] info: 	z2m: Connecting to MQTT server at mqtt://192.168.1.182:1883
[2026-01-28 10:06:04] info: 	z2m: Connected to MQTT server
