[2026-01-26 17:49:51] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-26 17:49:51] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-26 17:49:51] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-26 17:49:51] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"Silicon Labs","serialNumber":"0001","pnpId":"usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","vendorId":"10c4","productId":"ea60"} => zstack: 4
[2026-01-26 17:49:51] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-01-26 17:49:51] info: 	zh:zstack:znp: Serialport opened
[2026-01-26 17:49:58] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2026-01-26 17:49:58] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-26 17:49:58] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"ZStack3x0"}'
[2026-01-26 17:49:58] info: 	z2m: Currently 0 devices are joined.
[2026-01-26 17:49:58] info: 	z2m: Connecting to MQTT server at mqtt://192.168.1.182:1883
[2026-01-26 17:49:58] info: 	z2m: Connected to MQTT server
[2026-01-26 17:49:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-01-26 17:49:58] info: 	z2m: Started frontend on port 8080
[2026-01-26 17:49:58] info: 	z2m: Zigbee2MQTT started!
[2026-01-26 17:53:45] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-26 17:53:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"kd3xi-1"}'
[2026-01-26 17:58:41] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-26 17:58:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"kd3xi-2"}'
[2026-01-26 17:59:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1769446798599,"os":{"load_average":[0.02,0.02,0.12],"memory_used_mb":456.92,"memory_percent":2.8179},"process":{"uptime_sec":1748,"memory_used_mb":104.94,"memory_percent":0.6472},"mqtt":{"connected":true,"queued":0,"published":18,"received":33},"devices":{}}'
[2026-01-26 18:02:51] info: 	z2m: Zigbee: disabling joining new devices.
[2026-01-26 18:02:51] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":0},"status":"ok","transaction":"kd3xi-3"}'
[2026-01-26 18:03:00] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-26 18:03:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"kd3xi-4"}'
[2026-01-26 18:04:29] info: 	zh:zstack:znp: Port closed
[2026-01-26 18:04:29] info: 	zh:zstack:znp: closing
[2026-01-26 18:04:29] error: 	z2m: Adapter disconnected, stopping
[2026-01-26 18:04:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2026-01-26 18:04:29] info: 	z2m: Disconnecting from MQTT server
[2026-01-26 18:04:29] info: 	z2m: Stopping zigbee-herdsman...
[2026-01-26 18:04:30] info: 	z2m: Stopped zigbee-herdsman
[2026-01-26 18:04:30] info: 	z2m: Stopped Zigbee2MQTT
